CODIGO,DESCRIPCION,CATEGORIA,COSTO,PRECIO,MEDIDA
sHIP-r-gi,"Señal reglamentaria soporte: compuesto de aluminio 4 mm con refuerzo platina de 1 1/2 "" lamina: reflectivo tipo iv alta intensidad prismatico ( hip) , pictograma: reflectivo grado ingenieria",viales,0.00,0.00,20x30cm
ship-r,"Señal reglamentaria soporte: compuesto de aluminio 4 mm lamina: reflectivo tipo iv alta intensidad prismatico ( hip) , pictograma: reflectivo grado ingenieria",viales,0.00,0.00,20x30cm
ship-r,Señal reglamentaria soporte: sustrato de aluminio de 4 mm lamina: reflectiva de alta intensidad prismatico hip pictograma: vinil rotulado,viales,0.00,0.00,20x30cm
ship-pal,"Señal vertical preventiva ( amarillo limon ) soporte: fibra de vidrio 4 mm con refuerzo platina 1 1/2"" lamina: retroreflectiva tipo iv alta intensidad prismatico ( hip) , pictograma: vinil rotulado",viales,0.00,0.00,20x30cm
ship-p,Señal preventiva (amarillo ambar) soporte: sustrato de aluminio de 4 mm lamina: reflectiva tipo iv alta intensidad prismatico - Amarillo Ambar ( hip) pictograma: vinil rotulado,viales,"70,00","120,00",60x60cm
SHIP-i,Señal informativa: sustrato de aluminio de 4 mm lamina: reflectiva tipo iv alta intensidad prismatico ( hip) pictograma: reflectivo grado ingenieria ( gi),viales,0.00,0.00,20x30cm
sgi-r,Señal vertical reguladora lamina: reflectivo grado ingenieria ( gi) soporte: compuesto de aluminio de 4 mm pictograma: reflectivo grado ingenieria,viales,"0,00","0,00",20x30cm
sgi-p,Señal vertical preventiva lamina: reflectivo grado ingenieria ( gi) soporte: compuesto de aluminio de 4 mm pictograma: vinil rotulado,viales,0.00,0.00,20x30cm
sgi-o,"Señal para obras lamina: reflectivo grado ingenieria ( GI) , soporte: compuesto de aluminio 4mm pictograma: vinil troquelado",obras,0.00,0.00,20x30cm
sgi-I,Señal vertical lamina: reflectivo grado ingenieria ( gi) econÓ mico soporte: compuesto de aluminio de 4 mm pictograma: impresiÓ n vinil transparente arclad laminado glossy,viales,0.00,0.00,20x30cm
sgi,"Señal vertical con lamina reflectiva tipo I Grado Ingenieria (ecónomico) c/ soporte compuesto de aluminio ( sustrato de aluminio ) 4mm , Pictograma vinil rotulado.",viales,0.00,0.00,20x30cm
Sfot,Señal sticker fotoluminiscente de 5 hrs pictograma: vinil rotulado,fotoluminiscente,0.00,0.00,20x30cm
Sfot,Sticker fotoluminiscente,fotoluminiscente,0.00,0.00,20x30cm
r60-ref-vr,Rollo vinil reflectivo grado ingenieria reflexlite de 61 cm - color verde,cintas seguridad,280.00,"380,00",rollo
r60-ref-rj,Rollo vinil reflectivo grado ingenieria reflexlite de 61 cm - color rojo,cintas seguridad,280.00,"380,00",rollo
r60-ref-ng,Rollo vinil reflectivo grado ingenieria chino de 61 cm - color negro,cintas seguridad,280.00,"380,00",rollo
r60-ref-bl,Rollo vinil reflectivo grado ingenieria reflexlite de 61 cm - color blanco,cintas seguridad,280.00,"380,00",rollo
r60-ref-az,Rollo vinil reflectivo grado ingenieria reflexlite de 61 cm - color azul,cintas seguridad,280.00,"380,00",rollo
r60-ref-am,Rollo vinil reflectivo grado ingenieria reflexlite de 61 cm - color amarillo ambar,cintas seguridad,280.00,"380,00",rollo
PVC-PM,Señal pvc piso mojado,proteccion vial,16.00,"25,00",20x30cm
pvc-m,Señal vinil arclad laminado mate (proteccion UV) c/ soporte pvc celtex espesor = 3 mm,seguridad,0.00,0.00,20x30cm
PVC-DD,Señal vinil arclad laminado c/ soporte pvc celtex 3 mm doble cara con dobles de 5 cm,seguridad,0.00,0.00,20x30cm
PVC-DC,Señal vinil arclad laminado (proteccion UV) c/ soporte pvc celtex espesor = 3 mm - Doble cara,seguridad,0.00,0.00,20x30cm
pvc-cd,Vinil laminado c/ base pvc celtex 3 mm incluye cinta de doble contacto en 4 puntos,seguridad,0.00,0.00,20x30cm
pvc-ban,"Señal tipo bandera, vinil laminado c/ base pvc celte x 3 mm con dobles de 5 cm y doble cara",obras,0.00,0.00,20x30cm
pvc-5-dc,Señal vinil arclad laminado (proteccion UV) c/ soporte pvc celtex espesor = 5mm - DOBLE CARA,seguridad,0.00,0.00,20x30cm
PVC-5,Señal vinil arclad laminado (proteccion UV) c/ soporte pvc celtex espesor = 5mm,seguridad,"4,00","6,00",20x30cm
pvc,Señal vinil arclad laminado brillo (proteccion UV) c/ soporte pvc celtex espesor = 3 mm,seguridad,"3,00","5,00",20x30cm
PSS-30-T,Paleta de madera pare/ siga 30 x30 cm,obras,5.00,"20,00",und
PSG3X2X2.5,"Poste de señalización ( fierro galvanizado ) diametro: 3"" espesor:2 mm longitud: 2.5 mts. pitura: base epoxico + pintura anticorrosiva y capa esmalte ( color gris)",vial,105.00,105.00,und
PSG3X2.5X3,"Poste de señalización ( fierro galvanizado ) diametro: 2.5"" espesor:3 mm longitud: 3 mts. pitura: base epoxico ( anticorrosivo ) y capa esmalte ( negro/ blanco cada 50 cm)",vial,110.00,110.00,und
PSG2X2X3.5,"Poste de señalización ( fierro galvanizado ) diametro: 2"" espesor:2 mm longitud: 3.5 mts. pitura: base epoxico ( anticorrosivo ) y capa esmalte ( negro/ blanco cada 50 cm)",vial,110.00,110.00,und
PSG2X2X3.2-I,"Poste de señalización ( fierro galvanizado ) diametro: 2""' espesor:2 mm longitud: 3.2 mts. pitura: base epoxico ( anticorrosivo ) y capa esmalte gris",vial,110.00,110.00,und
PSG2X2X3.2,"Poste de señalización ( fierro galvanizado ) diametro: 2""' espesor:2 mm longitud: 3.2 mts. pitura: base epoxico ( anticorrosivo ) y capa esmalte ( negro/ blanco cada 50 cm)",vial,110.00,110.00,und
PSG2X2X3,"Poste de señalización ( fierro galvanizado ) diametro: 2""' espesor:2 mm longitud: 3 mts. pitura: base epoxico + pintura anticorrosiva y capa esmalte ( negro/ blanco cada 50 cm)",vial,105.00,105.00,und
PSG2X2.5X3,"Poste de señalización ( fierro galvanizado ) diametro: 2"" espesor:2.5 mm longitud: 3 mts. pitura: base epoxico ( anticorrosivo ) y capa esmalte ( negro/ blanco cada 50 cm)",vial,110.00,110.00,und
PS3X3X3,"Poste de señalización ( fierro negro redondo) diametro: 3"" espesor:3 mm longitud: 3 mts. pitura: base zincromato + Esmalte Sintético ( negro/ blanco cada 30 cm)",vial,75.00,75.00,und
PS3X2X3,"Poste de señalización ( fierro negro redondo) diametro: 3"" espesor:2 mm longitud: 3 mts. pitura: base zincromato + gloss ( negro/ blanco cada 50 cm)",vial,75.00,75.00,und
PS2X2X3,"Poste de señalización ( fierro negro redondo) diametro: 2"" espesor:2 mm longitud: 3 mts. pitura: base zincromato + gloss ( negro/ blanco cada 50 cm)",vial,75.00,75.00,und
PS2.5X3X3,"Poste de señalización ( fierro negro redondo) diametro: 2.5"" espesor:3 mm longitud: 3 mts. pitura: base zincromato + gloss ( negro/ blanco cada 50 cm)",vial,75.00,75.00,und
PQS-9,Extintor pqs 9 kg nacional c0 n certificado,lucha contra incendio,70.00,70.00,20x30cm
PQS-6,Extintor pqs 6 kg nacional con certificado,lucha contra incendio,47.00,47.00,20x30cm
PQS-4,Extintor pqs 4 kg nacional con certificado,lucha contra incendio,47.00,47.00,20x30cm
PQS-12,Extintor PQS 12 Nacional Kg con certificado,lucha contra incendio,70.00,70.00,20x30cm
pps-pl,Paleta doble cara pare - siga de plasticos 30 x30 cm,obras,0.00,"25,00",und
PPS-GI,Paleta pare/ siga 30 x30 cm - con vinil reflectivo grado igenieria,obras,10.00,"25,00",60x60cm
por,"Estructura metálica tipo Portico espesor: 2mm diametro: 3""",vial,0.00,0.00,und
pla-al,Pllaca Aluminio Vini Arclad transparente laminado aplicado a aluminio de 0.5mm espesor + Acrilico 2mm,seguridad,"0,00","0,00",und
ped,PEDESTAL CON BASE PARA EXTINTORES CO2 Y PQS,lucha contra incendio,48.00,48.00,und
pal,Panel aluminio compuesto ( pac) 4 mm,vial,0.00,0.00,und
NUM,Numeración para extintores vinil rotulado diametro: 5cm,seguridad,48.00,48.00,und
MS-DEL,Malla de seguridad delimitadora naranja ancho rollo 1.2 mt x 50 mts - delgado,proteccion vial,30.00,"50,00",und
MIC-n,Juego Plantilla Numero para pintar con spray en mica,seguridad,0.00,"30,00",und
MIC-a,Juego Plantilla Alfabeto [A - Z ] para pintar con spray en mica,seguridad,0.00,"50,00",und
Lhip60x90-r,Señal reglamentaria lamina: reflectiva tipo iv alta intensidad prismatico ( hip) pictograma: vinil rotulado,viales,0.00,0.00,20x30cm
lhip-r,"Señal vertical reguladora lamina: retroreflectiva tipo iv alta intensidad prismatico ( hip) , pictograma: vinil rotulado",viales,85.00,85.00,20x30cm
lhip-pal-GI,"Señal vertical preventiva ( amarillo limon) lamina: retroreflectiva tipo iv alta intensidad prismatico ( hip) , pictograma: reflectivo grado ingenieria color negro ( solo sticker)",viales,0.00,0.00,20x30cm
lhip-p-GI,"Señal vertical preventiva ( amarillo ambar) lamina: retroreflectiva tipo iv alta intensidad prismatico ( hip) , pictograma: reflectivo grado ingenieria color negro ( solo sticker)",viales,0.00,0.00,20x30cm
lhip-p,"Señal vertical preventiva ( amarillo ambar) lamina: retroreflectiva tipo iv alta intensidad prismatico ( hip) , pictograma: vinil rotulado ( solo sticker)",viales,0.00,0.00,20x30cm
lhip-i-hip,Señal vertical informativa lamina: retroreflectiva tipo iv alta intensidad prismatico ( hip) color verde letras y marco: reflectivo alta intensidad prismatico ( hip) color blanco,viales,0.00,0.00,20x30cm
lhip-i,"Señal vertical informativa lamina: retroreflectiva tipo iv alta intensidad prismatico ( hip) , pictograma: letras y marco reflectivo tipo i grado ingenieria",viales,0.00,0.00,20x30cm
LED-OP-SM,Señal de seguridad led “ opalux” 35.5 x22 cm,articulos seguridad,"65,00","85,00",und
LED-OP-LG,Señal de seguridad led “ opalux” 68.5 x35 cm,articulos seguridad,"110,00","150,00",und
LE-SCH-24,Luces de emergencia 24 led schubert original,articulos seguridad,0.00,"65,00",und
LE-OPA-14,Luces de emergencia 14 led opalux original,articulos seguridad,0.00,"85,00",und
im-8,Vinil arclad laminado aplicado sobre lamina imantada de 0.8 mm,seguridad,0.00,0.00,30x40cm
im-5,Vinil arclad laminado aplicado sobre lamina imantada de 0.5 mm,seguridad,0.00,0.00,30x40cm
HI12,Hito kilometrico 1.2 m. con nomenclatura,vial,"120,00","180,00",und
gor,Gorra de seguridad bordado,epp,0.00,0.00,und
fot-i,Señal fotoluminiscente lamina: fotoluminiscente 5 hrs impresion: digital tinta eco- solvente soporte: pvc celtex 3 mm,fotoluminiscente,0.00,0.00,20x30cm
fot-DD-5,Señal fotoluminiscente doble cara soporte: pvc celtex 5 mm pictograma: vinil rotulado,fotoluminiscente,0.00,0.00,20x30cm
fot-dc-oj,Señal fotoluminiscente doble cara con ojalillos para colgar soporte: pvc celtex 3 mm pictograma: vinil rotulado,fotoluminiscente,0.00,0.00,20x30cm
fot-cd,Señal fotoluminiscente soporte: pvc celtex 3 mm pictograma: vinil rotulado + cinta de doble en 4 puntos para su instalación,fotoluminiscente,0.00,0.00,20x30cm
fot-ban-5,Señal fotoluminiscente tipo bandera ( doble cara y con dobles de 5 cm ) soporte: pvc celtex 5 mm pictograma: vinil rotulado,fotoluminiscente,0.00,0.00,20x30cm
fot-ban,Señal fotoluminiscente tipo bandera ( doble cara y con dobles de 5 cm ) soporte: pvc celtex 3 mm pictograma: vinil rotulado,fotoluminiscente,0.00,0.00,20x30cm
fot-5-dc,Señal fotoluminiscente soporte: pvc celtex 5 mm pictograma: vinil rotulado - Doble cara,fotoluminiscente,0.00,0.00,20x30cm
fot-5,Señal fotoluminiscente soporte: pvc celtex 5 mm pictograma: vinil rotulado,fotoluminiscente,0.00,0.00,20x30cm
fot,Señal fotoluminiscente soporte: pvc celtex 3 mm pictograma: vinil rotulado,fotoluminiscente,3.50,"7,00",20x30cm
fib-i,"Fibra de vidrio 4 mm con refuerzo angulo de 1 1/2"" ( con pernos 3/8"" soldados o huecos )",vial,"115,00","150,00",120x60cm
fib-p,"Fibra de vidrio 4 mm con refuerzo platina 1 1/2"" ( perforacion de 3/8 "" )",vial,"54,00",85.00,60x60cm
fhip-rp,"Señal reglamentaria soporte: fibra de vidrio 4 mm con refuerzo platina de 1 1/2 "" lamina: reflectivo tipo iv alta intensidad prismatico ( hip) , pictograma: reflectivo grado ingenieria",viales,0.00,0.00,20x30cm
fhip-r-gi,"Señal reglamentaria soporte: fibra de vidrio 4 mm con refuerzo platina de 1 1/2 "" lamina: reflectivo tipo iv alta intensidad prismatico ( hip) , pictograma: reflectivo grado ingenieria",viales,0.00,0.00,20x30cm
fhip-r-3M,"Señal reglamentaria soporte: fibra de vidrio 4 mm con refuerzo platina de 1 1/2 "" lamina: Reflectivo tipo IV alta intensidad prismatico ( HIP) marca 3M , pictograma: vinil rotulado",viales,0.00,0.00,20x30cm
fhip-r,"Señal reglamentaria soporte: fibra de vidrio 4 mm con refuerzo platina de 1 1/2 "" lamina: reflectivo tipo iv alta intensidad prismatico ( hip) , pictograma: vinil rotulado",viales,0.00,"185,00",60x90cm
fhip-PAL-3M,"Señal vertical preventiva ( amarillo ambar) soporte: fibra de vidrio 4 mm con refuerzo platina 1 1/2"" lamina: Retroreflectiva tipo XI Diamond Grade Amarillo Limón ( hip) marca 3M , pictograma: vinil rotulado",viales,"0,00","0,00",20x30cm
fhip-pal,"Señal vertical preventiva ( amarillo limon ) soporte: fibra de vidrio 4 mm con refuerzo platina 1 1/2"" lamina: retroreflectiva tipo iv alta intensidad prismatico ( hip) , pictograma: vinil rotulado",viales,0.00,0.00,20x30cm
